variable,tipo_dato,grupo,descripcion,fuente
homicidio_culposo_roll6_mean,float64,rolling,Media movil 6 meses de homicidio_culposo (sin incluir mes actual),Derivada de homicidio_culposo con shift(1).rolling(6)
homicidio_culposo_roll12_mean,float64,rolling,Media movil 12 meses de homicidio_culposo (sin incluir mes actual),Derivada de homicidio_culposo con shift(1).rolling(12)
homicidio_culposo_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de homicidio_culposo (sin incluir mes actual),Derivada de homicidio_culposo con shift(1).rolling(3).std()
homicidio_culposo_yoy_change,float64,tendencia,Cambio year-over-year de homicidio_culposo: (x_t - x_t-12) / (x_t-12 + 1),Derivada de homicidio_culposo y homicidio_culposo_lag12
feminicidio_lag1,float64,lag,Conteo de feminicidio en t-1 (mes anterior),Derivada de feminicidio con shift(1)
feminicidio_lag2,float64,lag,Conteo de feminicidio en t-2 (hace 2 meses),Derivada de feminicidio con shift(2)
feminicidio_lag3,float64,lag,Conteo de feminicidio en t-3 (hace 3 meses),Derivada de feminicidio con shift(3)
feminicidio_lag12,float64,lag,Conteo de feminicidio en t-12 (mismo mes del anio anterior),Derivada de feminicidio con shift(12)
feminicidio_roll3_mean,float64,rolling,Media movil 3 meses de feminicidio (sin incluir mes actual),Derivada de feminicidio con shift(1).rolling(3)
feminicidio_roll6_mean,float64,rolling,Media movil 6 meses de feminicidio (sin incluir mes actual),Derivada de feminicidio con shift(1).rolling(6)
feminicidio_roll12_mean,float64,rolling,Media movil 12 meses de feminicidio (sin incluir mes actual),Derivada de feminicidio con shift(1).rolling(12)
feminicidio_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de feminicidio (sin incluir mes actual),Derivada de feminicidio con shift(1).rolling(3).std()
feminicidio_yoy_change,float64,tendencia,Cambio year-over-year de feminicidio: (x_t - x_t-12) / (x_t-12 + 1),Derivada de feminicidio y feminicidio_lag12
lesiones_lag1,float64,lag,Conteo de lesiones en t-1 (mes anterior),Derivada de lesiones con shift(1)
lesiones_lag2,float64,lag,Conteo de lesiones en t-2 (hace 2 meses),Derivada de lesiones con shift(2)
lesiones_lag3,float64,lag,Conteo de lesiones en t-3 (hace 3 meses),Derivada de lesiones con shift(3)
lesiones_lag12,float64,lag,Conteo de lesiones en t-12 (mismo mes del anio anterior),Derivada de lesiones con shift(12)
